experiment_id,model_name,compression_method,budget_label,calibration_replicate,seed,sparsity,quantisation_bits,status,git_commit,model_revision,method_version,host,perplexity,perplexity_retention,total_nll,total_tokens,num_sequences,sequence_length,evaluation_device,eval_split,dataset_fingerprint,calibration_fingerprint,measured_sparsity,targeted_parameters
pythia-160m_joint_aggressive_s30_b4_rep6,pythia-160m,joint,aggressive,6,1234,0.3,4,success,e85aa3325423e50d9d1cdc35512730a77961719d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",63.47990537818485,56.4863415174306,1085962.0659179688,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_aggressive_s30_b4_rep7,pythia-160m,joint,aggressive,7,1234,0.3,4,success,e85aa3325423e50d9d1cdc35512730a77961719d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",63.7721704876283,56.227467048215935,1087163.8701171875,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_moderate_s30_b8_rep0,pythia-160m,joint,moderate,0,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.975321826965,79.72700292133297,995801.201171875,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_moderate_s30_b8_rep1,pythia-160m,joint,moderate,1,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.94456163245977,79.78156832431175,995622.2006835938,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_moderate_s30_b8_rep2,pythia-160m,joint,moderate,2,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.03416764695725,79.62282422529911,996143.2973632812,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_moderate_s30_b8_rep3,pythia-160m,joint,moderate,3,1234,0.3,8,success,0f5500b8ea1ae5480ea60c43a4388e3eb135b0e7,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.93465100884036,79.79916465760189,995564.5024414062,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_moderate_s30_b8_rep4,pythia-160m,joint,moderate,4,1234,0.3,8,success,e85aa3325423e50d9d1cdc35512730a77961719d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.9875429522627,79.70534462153772,995872.2846679688,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_moderate_s30_b8_rep5,pythia-160m,joint,moderate,5,1234,0.3,8,success,e85aa3325423e50d9d1cdc35512730a77961719d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.937434780451134,79.79422128132279,995580.7104492188,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_moderate_s30_b8_rep6,pythia-160m,joint,moderate,6,1234,0.3,8,success,e85aa3325423e50d9d1cdc35512730a77961719d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.00989390306552,79.66576465184941,996002.2377929688,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_moderate_s30_b8_rep7,pythia-160m,joint,moderate,7,1234,0.3,8,success,e85aa3325423e50d9d1cdc35512730a77961719d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.84739257665464,79.9544278646178,995055.9462890625,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_joint_s1_30_w8_s30_b8_seed1234,pythia-160m,joint,s1_30_w8,,1234,0.3,8,success,b5c413fbdf6e857f48dea1722179336cc1076e1b-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",46.06379824197866,80.26715599354826,964871.9810791016,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_joint_s2_50_w8_s50_b8_seed1234,pythia-160m,joint,s2_50_w8,,1234,0.5,8,success,b5c413fbdf6e857f48dea1722179336cc1076e1b-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",175.4772005970647,21.07060100436822,1301814.4008789062,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_joint_s3_50_w4_s50_b4_seed1234,pythia-160m,joint,s3_50_w4,,1234,0.5,4,success,b5c413fbdf6e857f48dea1722179336cc1076e1b-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",240.98924893000677,15.342634974633727,1381735.2592773438,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_joint_s4_70_w4_s70_b4_seed1234,pythia-160m,joint,s4_70_w4,,1234,0.7,4,success,b5c413fbdf6e857f48dea1722179336cc1076e1b-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",5894.995549998348,0.6272116828222664,2187159.9794921875,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_joint_s5_30_w4_s30_b4_seed1234,pythia-160m,joint,s5_30_w4,,1234,0.3,4,success,b5c413fbdf6e857f48dea1722179336cc1076e1b-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",64.04136781990903,57.734714373086724,1047881.0864257812,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_joint_s6_40_w8_s40_b8_rep0,pythia-160m,joint,s6_40_w8,0,1234,0.4,8,success,b9ff0a57ae6c71d23b0e38cd71666ad5f88b65d0-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",68.2185197695226,54.19950285462386,1063799.302734375,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_joint_s6_40_w8_s40_b8_rep1,pythia-160m,joint,s6_40_w8,1,1234,0.4,8,success,b9ff0a57ae6c71d23b0e38cd71666ad5f88b65d0-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",68.50091406951965,53.97606597240523,1064839.9992675781,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_joint_s6_40_w8_s40_b8_rep2,pythia-160m,joint,s6_40_w8,2,1234,0.4,8,success,b9ff0a57ae6c71d23b0e38cd71666ad5f88b65d0-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",68.0760870114411,54.31290221432755,1063272.7653808594,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_joint_s6_40_w8_s40_b8_seed1234,pythia-160m,joint,s6_40_w8,,1234,0.4,8,success,b5c413fbdf6e857f48dea1722179336cc1076e1b-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",68.21842278457635,54.19958316568103,1063798.9445800781,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_pruning_aggressive_s30_b32_rep0,pythia-160m,pruning,aggressive,0,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.02434230000943,79.6401997566898,996086.2094726562,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_aggressive_s30_b32_rep1,pythia-160m,pruning,aggressive,1,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.93109074298966,79.80548781237394,995543.7719726562,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_aggressive_s30_b32_rep2,pythia-160m,pruning,aggressive,2,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.068195760503315,79.56270612077158,996340.9135742188,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_aggressive_s30_b32_rep3,pythia-160m,pruning,aggressive,3,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.93065034154269,79.80627005015688,995541.2075195312,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_aggressive_s30_b32_rep4,pythia-160m,pruning,aggressive,4,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.987983995320526,79.7045632242446,995874.849609375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_aggressive_s30_b32_rep5,pythia-160m,pruning,aggressive,5,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.86965296224725,79.91476149154376,995185.77734375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_aggressive_s30_b32_rep6,pythia-160m,pruning,aggressive,6,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.98320814807004,79.71302542235802,995847.0737304688,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_aggressive_s30_b32_rep7,pythia-160m,pruning,aggressive,7,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.88264824541447,79.89162304059619,995261.541015625,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
