experiment_id,model_name,compression_method,budget_label,calibration_replicate,seed,sparsity,quantisation_bits,status,git_commit,model_revision,method_version,host,perplexity,perplexity_retention,total_nll,total_tokens,num_sequences,sequence_length,evaluation_device,eval_split,dataset_fingerprint,calibration_fingerprint,measured_sparsity,targeted_parameters
pythia-160m_quantisation_moderate_s00_b8_rep5,pythia-160m,quantisation,moderate,5,1234,0.0,8,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.85286482079685,100.01286180641209,936491.72265625,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_moderate_s00_b8_rep6,pythia-160m,quantisation,moderate,6,1234,0.0,8,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.879801736118246,99.93777672067658,936688.2177734375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_moderate_s00_b8_rep7,pythia-160m,quantisation,moderate,7,1234,0.0,8,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",35.88439931528342,99.92497249798282,936721.7407226562,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_rep0,pythia-160m,sequential,aggressive,0,1234,0.3,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",63.524434683458765,56.446745768837644,1086145.5288085938,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_rep1,pythia-160m,sequential,aggressive,1,1234,0.3,4,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",64.14289712542809,55.90248921364725,1088680.4111328125,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_rep2,pythia-160m,sequential,aggressive,2,1234,0.3,4,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",65.03079799235124,55.13922211300676,1092277.2260742188,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_rep3,pythia-160m,sequential,aggressive,3,1234,0.3,4,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",63.22390399729365,56.71506167730199,1084904.8247070312,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_rep4,pythia-160m,sequential,aggressive,4,1234,0.3,4,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",64.20516908776992,55.84826993889746,1088934.2885742188,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_rep5,pythia-160m,sequential,aggressive,5,1234,0.3,4,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",63.6906268496134,56.299455540813135,1086829.1147460938,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_rep6,pythia-160m,sequential,aggressive,6,1234,0.3,4,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",65.57480238627306,54.681790629946946,1094456.76171875,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_rep7,pythia-160m,sequential,aggressive,7,1234,0.3,4,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",64.67114796590765,55.445863069828434,1090826.265625,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_aggressive_s30_b4_seed1234,pythia-160m,sequential,aggressive,,1234,0.3,4,success,f8e0ae1772d43d01585b280c3deab1085ad3c233,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",65.26130752548073,56.65547043630121,1052634.8935546875,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_moderate_s30_b8_rep0,pythia-160m,sequential,moderate,0,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.02664431936562,79.63612809458523,996099.5859375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_moderate_s30_b8_rep1,pythia-160m,sequential,moderate,1,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.918559268375816,79.82775211605721,995470.7915039062,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_moderate_s30_b8_rep2,pythia-160m,sequential,moderate,2,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.094351399851135,79.51655813588587,996492.7094726562,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_moderate_s30_b8_rep3,pythia-160m,sequential,moderate,3,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.98777787243189,79.70492841087052,995873.6508789062,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_moderate_s30_b8_rep4,pythia-160m,sequential,moderate,4,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.02014854932232,79.6476184603861,996061.8388671875,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_moderate_s30_b8_rep5,pythia-160m,sequential,moderate,5,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.873177289953915,79.90848500690181,995206.3266601562,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_moderate_s30_b8_rep6,pythia-160m,sequential,moderate,6,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.006672979800726,79.67146596896053,995983.5146484375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_moderate_s30_b8_rep7,pythia-160m,sequential,moderate,7,1234,0.3,8,success,f27ac2e5f760c2eacbd0d85669230feb0019407f,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.915957059707274,79.83237694166809,995455.6342773438,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_sequential_moderate_s30_b8_seed1234,pythia-160m,sequential,moderate,,1234,0.3,8,success,72ab1315444c5d7abdd238b63c0e89b0ab83c132-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",46.101378819772805,80.20172441259874,965077.4255371094,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_qp_aggressive_s30_b4_seed1234,pythia-160m,sequential_qp,aggressive,,1234,0.3,4,success,f8e0ae1772d43d01585b280c3deab1085ad3c233,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",70.5571764068292,52.40303350328464,1072290.9506835938,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_qp_moderate_s30_b8_rep0,pythia-160m,sequential_qp,moderate,0,1234,0.3,8,success,220a1f9f160bdd9d6d5786d90d3124c17c9c321d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.855774316919515,80.63128171019048,963731.7211914062,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_qp_moderate_s30_b8_rep1,pythia-160m,sequential_qp,moderate,1,1234,0.3,8,success,220a1f9f160bdd9d6d5786d90d3124c17c9c321d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",46.01891565020924,80.34543632211037,964626.3984375,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_qp_moderate_s30_b8_rep2,pythia-160m,sequential_qp,moderate,2,1234,0.3,8,success,220a1f9f160bdd9d6d5786d90d3124c17c9c321d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",46.04047613766059,80.30781102113788,964744.4001464844,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_qp_moderate_s30_b8_rep3,pythia-160m,sequential_qp,moderate,3,1234,0.3,8,success,220a1f9f160bdd9d6d5786d90d3124c17c9c321d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.90178883079308,80.55045241518035,963984.3895263672,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_qp_moderate_s30_b8_rep4,pythia-160m,sequential_qp,moderate,4,1234,0.3,8,success,220a1f9f160bdd9d6d5786d90d3124c17c9c321d,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",46.0238891873996,80.33675385257816,964653.6237792969,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_qp_moderate_s30_b8_seed1234,pythia-160m,sequential_qp,moderate,,1234,0.3,8,success,f8e0ae1772d43d01585b280c3deab1085ad3c233,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.85577327259825,80.63128839119749,963731.7154541016,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s1_30_w8_s30_b8_seed1234,pythia-160m,sequential,s1_30_w8,,1234,0.3,8,success,993df21f25a9f5f13bb406616166942da0b5d818,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",46.101378819772805,80.20172441259874,965077.4255371094,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s2_50_w8_s50_b8_seed1234,pythia-160m,sequential,s2_50_w8,,1234,0.5,8,success,b5c413fbdf6e857f48dea1722179336cc1076e1b,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",177.75961236708355,20.800057054067356,1305070.0073242188,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s3_50_w4_s50_b4_seed1234,pythia-160m,sequential,s3_50_w4,,1234,0.5,4,success,b5c413fbdf6e857f48dea1722179336cc1076e1b,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",254.5312197927839,14.52635194281601,1395508.1862792969,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s4_70_w4_s70_b4_seed1234,pythia-160m,sequential,s4_70_w4,,1234,0.7,4,success,b5c413fbdf6e857f48dea1722179336cc1076e1b,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",5041.606777670168,0.7333793058832894,2147764.5270996094,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s5_30_w4_s30_b4_seed1234,pythia-160m,sequential,s5_30_w4,,1234,0.3,4,success,b5c413fbdf6e857f48dea1722179336cc1076e1b,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",65.26130752548073,56.65547043630121,1052634.8935546875,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s6_40_w8_s40_b8_rep0,pythia-160m,sequential,s6_40_w8,0,1234,0.4,8,success,b9ff0a57ae6c71d23b0e38cd71666ad5f88b65d0-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",67.9286431458815,54.43079216297622,1062726.5415039062,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s6_40_w8_s40_b8_rep1,pythia-160m,sequential,s6_40_w8,1,1234,0.4,8,success,b9ff0a57ae6c71d23b0e38cd71666ad5f88b65d0-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",68.56427059202454,53.92618961830742,1065072.8952636719,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s6_40_w8_s40_b8_rep2,pythia-160m,sequential,s6_40_w8,2,1234,0.4,8,success,b9ff0a57ae6c71d23b0e38cd71666ad5f88b65d0-dirty,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",67.97319668623399,54.395115092994565,1062891.7204589844,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-160m_sequential_s6_40_w8_s40_b8_seed1234,pythia-160m,sequential,s6_40_w8,,1234,0.4,8,success,b5c413fbdf6e857f48dea1722179336cc1076e1b,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",67.92844131078915,54.43095716310763,1062725.79296875,251923,493,512,cpu,validation,da4b790a50b187c5,,,84934656
pythia-1b_dense_moderate_s00_b32_rep0,pythia-1b,dense,moderate,0,1234,0.0,32,success,e0c06ac17fb95ee27156508ed114f145d0111784,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.256371266639835,100.0,745175.40234375,261632,512,512,cpu,test,9939fb7302c336ce,,,
pythia-1b_joint_aggressive_s30_b4_rep0,pythia-1b,joint,aggressive,0,1234,0.3,4,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",19.164359431487604,90.04408067136912,772612.97265625,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_aggressive_s30_b4_rep1,pythia-1b,joint,aggressive,1,1234,0.3,4,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",19.22851744278968,89.74363893619181,773487.3955078125,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_aggressive_s30_b4_rep2,pythia-1b,joint,aggressive,2,1234,0.3,4,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",19.220601868482863,89.78059784348433,773379.6704101562,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_aggressive_s30_b4_rep3,pythia-1b,joint,aggressive,3,1234,0.3,4,success,,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",19.24735356785893,89.65581271108447,773743.5629882812,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_aggressive_s30_b4_rep4,pythia-1b,joint,aggressive,4,1234,0.3,4,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",19.236498313584963,89.70640594423182,773595.9643554688,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_moderate_s30_b8_rep0,pythia-1b,joint,moderate,0,1234,0.3,8,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.902898428767276,96.3887011664627,754798.541015625,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_moderate_s30_b8_rep1,pythia-1b,joint,moderate,1,1234,0.3,8,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.909435812079824,96.35351692653825,754894.060546875,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_moderate_s30_b8_rep2,pythia-1b,joint,moderate,2,1234,0.3,8,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.93181170840518,96.23328388258311,755220.7373046875,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_moderate_s30_b8_rep3,pythia-1b,joint,moderate,3,1234,0.3,8,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.8982519899748,96.41372395642605,754730.6293945312,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_joint_moderate_s30_b8_rep4,pythia-1b,joint,moderate,4,1234,0.3,8,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.91743360313691,96.31050768129349,755010.87109375,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_aggressive_s30_b32_rep0,pythia-1b,pruning,aggressive,0,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.899805813458638,96.40535459700344,754753.341796875,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_aggressive_s30_b32_rep1,pythia-1b,pruning,aggressive,1,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.90861376261497,96.35793979019907,754882.0512695312,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_aggressive_s30_b32_rep2,pythia-1b,pruning,aggressive,2,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.93102778530365,96.23749108672529,755209.2993164062,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_aggressive_s30_b32_rep3,pythia-1b,pruning,aggressive,3,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.8958841843243,96.42648046278352,754696.0151367188,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_aggressive_s30_b32_rep4,pythia-1b,pruning,aggressive,4,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.915307936764442,96.32193500412914,754979.830078125,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_moderate_s30_b32_rep0,pythia-1b,pruning,moderate,0,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.899806080708505,96.40535315764046,754753.345703125,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_moderate_s30_b32_rep1,pythia-1b,pruning,moderate,1,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.90861376261497,96.35793979019907,754882.0512695312,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_moderate_s30_b32_rep2,pythia-1b,pruning,moderate,2,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.93102778530365,96.23749108672529,755209.2993164062,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_moderate_s30_b32_rep3,pythia-1b,pruning,moderate,3,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.8958841843243,96.42648046278352,754696.0151367188,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_pruning_moderate_s30_b32_rep4,pythia-1b,pruning,moderate,4,1234,0.3,32,success,8932933029b204ce3dd9ff84c72318a20f0e917a,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.915307936764442,96.32193500412914,754979.830078125,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_quantisation_aggressive_s00_b4_rep0,pythia-1b,quantisation,aggressive,0,1234,0.0,4,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",18.711113681909115,92.22524944265717,766350.912109375,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
pythia-1b_quantisation_aggressive_s00_b4_rep1,pythia-1b,quantisation,aggressive,1,1234,0.0,4,success,ecaf8c73e768caa7c5829221d543323b538efd0e,f73d7dcc545c8bd326d8559c8ef84ffe92fea6b2,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",18.720148714424088,92.1807381441559,766477.2158203125,261632,512,512,cpu,test,9939fb7302c336ce,,,805306368
