experiment_id,model_name,compression_method,budget_label,calibration_replicate,seed,sparsity,quantisation_bits,status,git_commit,model_revision,method_version,host,perplexity,perplexity_retention,total_nll,total_tokens,num_sequences,sequence_length,evaluation_device,eval_split,dataset_fingerprint,calibration_fingerprint,measured_sparsity,targeted_parameters
qwen2.5-0.5b_joint_aggressive_s30_b4_rep0,qwen2.5-0.5b,joint,aggressive,0,1234,0.3,4,success,dad94496766e215aa4f7a64298e5b66779a6824b-dirty,060db6499f32faf8b98477b0a26969ef7d8b9987,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",22.783463221865198,78.0208230116657,817870.7827148438,261632,512,512,cpu,validation,ed715b9e8ab5be0d,,,357826560
qwen2.5-0.5b_sequential_aggressive_s30_b4_rep0,qwen2.5-0.5b,sequential,aggressive,0,1234,0.3,4,success,e4547d50d2dcd4b029b1ed20705f93e8e495e713,060db6499f32faf8b98477b0a26969ef7d8b9987,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",22.96643015627538,77.39925358579204,819963.4765625,261632,512,512,cpu,validation,ed715b9e8ab5be0d,,,357826560
qwen2.5-0.5b_sequential_qp_aggressive_s30_b4_rep0,qwen2.5-0.5b,sequential_qp,aggressive,0,1234,0.3,4,success,e4547d50d2dcd4b029b1ed20705f93e8e495e713,060db6499f32faf8b98477b0a26969ef7d8b9987,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",23.374342172458924,76.04853811545541,824569.5971679688,261632,512,512,cpu,validation,ed715b9e8ab5be0d,,,357826560
qwen2.5-0.5b_dense_moderate_s00_b32_rep0,qwen2.5-0.5b,dense,moderate,0,1234,0.0,32,success,bfc2a038d0c72f73fa05a8acd6cc7c2eae011031,060db6499f32faf8b98477b0a26969ef7d8b9987,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.775845516259395,100.0,752935.1767578125,261632,512,512,cpu,validation,ed715b9e8ab5be0d,,,
qwen_smoke_dense__qwen2.5-0.5b_dense_moderate_s00_b32_seed1234,qwen2.5-0.5b,dense,moderate,,1234,0.0,32,success,dad94496766e215aa4f7a64298e5b66779a6824b,060db6499f32faf8b98477b0a26969ef7d8b9987,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",17.775845516259395,100.0,752935.1767578125,261632,512,512,cpu,validation,ed715b9e8ab5be0d,,,
qwen2.5-0.5b_joint_moderate_s30_b8_rep0,qwen2.5-0.5b,joint,moderate,0,1234,0.3,8,success,e4547d50d2dcd4b029b1ed20705f93e8e495e713,060db6499f32faf8b98477b0a26969ef7d8b9987,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",18.658183165735164,95.27104197853444,765609.7514648438,261632,512,512,cpu,validation,ed715b9e8ab5be0d,,,357826560
qwen2.5-0.5b_sequential_moderate_s30_b8_rep0,qwen2.5-0.5b,sequential,moderate,0,1234,0.3,8,success,e4547d50d2dcd4b029b1ed20705f93e8e495e713,060db6499f32faf8b98477b0a26969ef7d8b9987,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",18.655372683529176,95.28539481794263,765570.3388671875,261632,512,512,cpu,validation,ed715b9e8ab5be0d,,,357826560
qwen2.5-0.5b_sequential_qp_moderate_s30_b8_rep0,qwen2.5-0.5b,sequential_qp,moderate,0,1234,0.3,8,success,e4547d50d2dcd4b029b1ed20705f93e8e495e713,060db6499f32faf8b98477b0a26969ef7d8b9987,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",18.673745150492973,95.19164673718451,765827.8764648438,261632,512,512,cpu,validation,ed715b9e8ab5be0d,,,357826560
