model_name,budget_label,calibration_replicate,eval_split,dataset_fingerprint,sequential_pq_retention,sequential_qp_retention,baseline_order,baseline_rule,baseline_retention,joint_retention,joint_gain_pp,orders_available
pythia-410m,aggressive,,validation,da4b790a50b187c5,58.560736980611836,51.73749599758463,sequential,best-of,58.560736980611836,59.24393249126053,0.6831955106486944,2
pythia-410m,moderate,0,test,9939fb7302c336ce,76.05103751996576,,sequential,frozen,76.05103751996576,76.08320839748818,0.032170877522418095,1
pythia-410m,moderate,1,test,9939fb7302c336ce,76.16925173700338,,sequential,frozen,76.16925173700338,76.18514890619463,0.015897169191248395,1
pythia-410m,moderate,2,test,9939fb7302c336ce,76.10316363550832,,sequential,frozen,76.10316363550832,76.0839153856617,-0.01924824984662621,1
pythia-410m,moderate,3,test,9939fb7302c336ce,76.0744264736753,,sequential,frozen,76.0744264736753,76.132781923792,0.058355450116692964,1
pythia-410m,moderate,4,test,9939fb7302c336ce,75.9195344579322,,sequential,frozen,75.9195344579322,75.88653812933481,-0.032996328597391766,1
pythia-410m,moderate,5,test,9939fb7302c336ce,75.97064742525676,,sequential,frozen,75.97064742525676,76.08739220457662,0.11674477931985905,1
pythia-410m,moderate,6,test,9939fb7302c336ce,76.05867618654977,,sequential,frozen,76.05867618654977,76.04357049127675,-0.015105695273021524,1
pythia-410m,moderate,7,test,9939fb7302c336ce,75.6881651275649,,sequential,frozen,75.6881651275649,75.76350819866178,0.07534307109688143,1
pythia-410m,moderate,,validation,da4b790a50b187c5,76.16651049683357,76.12628869466104,sequential,best-of,76.16651049683357,76.17105400605494,0.004543509221377917,2
pythia-410m,s6_40_w8,0,validation,da4b790a50b187c5,56.91225838120623,,sequential,best-of,56.91225838120623,56.943071129220876,0.03081274801464673,1
pythia-410m,s6_40_w8,1,validation,da4b790a50b187c5,56.72790475057319,,sequential,best-of,56.72790475057319,56.990648835249516,0.2627440846763278,1
pythia-410m,s6_40_w8,2,validation,da4b790a50b187c5,56.71288241046834,,sequential,best-of,56.71288241046834,56.67424170613505,-0.03864070433328948,1
qwen2.5-0.5b,aggressive,0,test,d40b836b08ce1493,76.58506123520881,,sequential,frozen,76.58506123520881,77.28678583807607,0.7017246028672588,1
qwen2.5-0.5b,aggressive,1,test,d40b836b08ce1493,76.98151285405976,,sequential,frozen,76.98151285405976,77.33014285255044,0.3486299984906793,1
qwen2.5-0.5b,aggressive,2,test,d40b836b08ce1493,77.02584704469305,,sequential,frozen,77.02584704469305,77.66955232552662,0.6437052808335721,1
qwen2.5-0.5b,aggressive,3,test,d40b836b08ce1493,77.19027918851941,,sequential,frozen,77.19027918851941,77.31710012225058,0.12682093373116743,1
qwen2.5-0.5b,aggressive,4,test,d40b836b08ce1493,77.34013350660274,,sequential,frozen,77.34013350660274,76.899430938203,-0.4407025683997432,1
qwen2.5-0.5b,aggressive,5,test,d40b836b08ce1493,76.63199994593786,,sequential,frozen,76.63199994593786,77.16510270910071,0.5331027631628444,1
qwen2.5-0.5b,aggressive,6,test,d40b836b08ce1493,76.56812162158101,,sequential,frozen,76.56812162158101,77.42158421695898,0.8534625953779624,1
qwen2.5-0.5b,aggressive,7,test,d40b836b08ce1493,77.18372807422985,,sequential,frozen,77.18372807422985,77.78741484468452,0.6036867704546722,1
qwen2.5-0.5b,moderate,0,test,d40b836b08ce1493,95.01302088492389,,sequential,frozen,95.01302088492389,94.97733340482291,-0.03568748010097522,1
qwen2.5-0.5b,moderate,1,test,d40b836b08ce1493,94.96841203429035,,sequential,frozen,94.96841203429035,94.91930570935008,-0.049106324940268564,1
qwen2.5-0.5b,moderate,2,test,d40b836b08ce1493,95.03642191947837,,sequential,frozen,95.03642191947837,95.00661410697934,-0.02980781249902975,1
qwen2.5-0.5b,moderate,3,test,d40b836b08ce1493,94.96443293336897,,sequential,frozen,94.96443293336897,94.95155282089499,-0.012880112473979466,1
qwen2.5-0.5b,moderate,4,test,d40b836b08ce1493,95.0609627241122,,sequential,frozen,95.0609627241122,95.01198852258055,-0.04897420153164944,1
qwen2.5-0.5b,moderate,5,test,d40b836b08ce1493,95.02255046298917,,sequential,frozen,95.02255046298917,95.03349738396673,0.010946920977559671,1
qwen2.5-0.5b,moderate,6,test,d40b836b08ce1493,94.98171135640447,,sequential,frozen,94.98171135640447,94.94537912425888,-0.03633223214559678,1
qwen2.5-0.5b,moderate,7,test,d40b836b08ce1493,95.0915219495175,,sequential,frozen,95.0915219495175,95.03637598181271,-0.055145967704788745,1
